Species	ITD Mean_f (mm)	Comment
Nomada conjungens	1.32	
Nomada errans		Probably extinct
Nomada fabriciana	1.49	
Nomada facilis	1.541	Recently recognised as in GB
Nomada ferruginata	1.44	
Nomada flava	1.86	
Nomada flavoguttata	1.09	
Nomada flavopicta	1.573	
Nomada fucata	1.86	
Nomada fulvicornis	2.03	
Nomada goodeniana	2.02	
Nomada guttulata	1.212	
Nomada hirtipes	1.59	
Nomada integra	1.54	
Nomada lathburiana 	2.01	
Nomada leucophthalma	1.76	
Nomada marshamella	2.23	
Nomada obtusifrons	1.27	
Nomada panzeri	1.58	
Nomada roberjeotiana	1.52	
Nomada ruficornis	1.78	
Nomada rufipes	1.87	
Nomada sexfasciata	2.29	
Nomada sheppardana	0.93	
Nomada signata	1.91	
Nomada striata	1.65	
Nomada subcornuta		Recently re-recognised
Nomada zonata	1.65	Recent colonist
Osmia aurulenta	2.83	
Osmia bicolor	2.72	
Osmia bicornis	2.98	
Osmia caerulescens	2.25	
Osmia cornuta	3.3	Recent colonist
Osmia inermis	2.7	
Osmia leaiana	2.69	
Osmia niveata	2.51	
Osmia parietina	2.27	
Osmia pilicornis	2.68	
Osmia spinulosa	2.01	
Osmia uncinata	2.27	
Osmia xanthomelana	3.36	
Panurgus banksianus	2.4	
Panurgus calcaratus	1.77	
Rophites quinquespinosus		Extinct
Sphecodes albilabris	2.12	
Sphecodes crassus	1.23	
Sphecodes ephippius	1.5	
Sphecodes ferruginatus	1.39	
Sphecodes geoffrellus	1.07	
Sphecodes gibbus	1.64	
Sphecodes hyalinatus	1.451	
Sphecodes longulus	0.948	
Sphecodes miniatus	0.97	
Sphecodes monilicornis	1.48	
Sphecodes niger	1.04	
Sphecodes pellucidus	1.61	
Sphecodes puncticeps	1.16	
Sphecodes reticulatus	1.4	
Sphecodes rubicundus	1.8	
Sphecodes scabricollis	1.54	
Sphecodes spinulosus	1.827	
Stelis breviuscula	1.31	
Stelis odontopyga		Recent colonist
Stelis ornatula	1.52	
Stelis phaeoptera	2.03	
Stelis punctulatissima	2.592	
Xylocopa violacea	6.62	Colonising
