"","disp","Conduct"
"1",0.0158489319246111,9.62846156739167e-08
"2",0.0199526231496888,1.05849324956277e-06
"3",0.0251188643150958,6.93432045198442e-06
"4",0.0316227766016838,2.89169073250419e-05
"5",0.0398107170553497,8.31250174797743e-05
"6",0.0501187233627272,0.000187340792453434
"7",0.0630957344480193,0.000367862925287586
"8",0.0794328234724281,0.000686587736161482
"9",0.1,0.00132213386138701
"10",0.125892541179417,0.00268246763382106
"11",0.158489319246111,0.00547622722203962
"12",0.199526231496888,0.0107913805494429
"13",0.251188643150958,0.0201166640871977
"14",0.316227766016838,0.0349600122322232
"15",0.398107170553497,0.0560163523612143
"16",0.501187233627272,0.0822832767834027
"17",0.630957344480193,0.110669520022908
"18",0.794328234724282,0.136494108241105
"19",1,0.154926353470101
"20",1.25892541179417,0.162712216851854
"21",1.58489319246111,0.159123053217262
"22",1.99526231496888,0.145816049111218
"23",2.51188643150958,0.12600031148145
"24",3.16227766016838,0.1033360061593
