"","disp","Conduct"
"1",0.0158489319246111,2.11078916797406e-15
"2",0.0199526231496888,4.17322342562103e-15
"3",0.0251188643150958,1.95150218792603e-13
"4",0.0316227766016838,7.16725205327293e-11
"5",0.0398107170553497,3.99787615542699e-09
"6",0.0501187233627272,2.79084073454184e-08
"7",0.0630957344480193,8.7387170742312e-08
"8",0.0794328234724281,2.65773679011098e-07
"9",0.1,1.26932908969644e-06
"10",0.125892541179417,8.96747859350596e-06
"11",0.158489319246111,6.19157710098151e-05
"12",0.199526231496888,0.000347729985425804
"13",0.251188643150958,0.00146592420504824
"14",0.316227766016838,0.00456284259601104
"15",0.398107170553497,0.0110084017870894
"16",0.501187233627272,0.0218317752063798
"17",0.630957344480193,0.0368790771088114
"18",0.794328234724282,0.0539987488751034
"19",1,0.0693912452084382
"20",1.25892541179417,0.0793764419314411
"21",1.58489319246111,0.0821428211280406
"22",1.99526231496888,0.0781188816828938
"23",2.51188643150958,0.0692030732602986
"24",3.16227766016838,0.0577503918805404
